StartingAngle,AngleThreshold,StartingRadius,FinalRadius,DecayConstant,TimeToEat,PerturbAngle,TriggerRadius,PerturbMagnitude
0,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
90,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
180,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
270,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
0,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
90,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
180,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
270,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
0,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
90,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
180,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
270,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
0,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
90,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
180,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
270,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
0,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
90,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
180,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
270,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
0,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
90,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
180,30,0.15,0.025,0.0003,10.0,-30,0.05,0.03
270,30,0.15,0.025,0.0003,10.0,30,0.05,0.03
