StartingAngle,AngleThreshold,StartingRadius,FinalRadius,DecayConstant,TimeToEat,PerturbAngle,TriggerRadius,PerturbMagnitude
270,30,0.15,0.025,0.0003,10.0,45,0.080,0.05
0,30,0.15,0.025,0.0003,10.0,25,0.080,0.05
180,30,0.15,0.025,0.0003,10.0,60,0.080,0.05
90,30,0.15,0.025,0.0003,10.0,45,0.080,0.05
270,30,0.15,0.025,0.0003,10.0,90,0.080,0.09
0,30,0.15,0.025,0.0003,10.0,10,0.040,0.09
180,30,0.15,0.025,0.0003,10.0,10,0.040,0.09
90,30,0.15,0.025,0.0003,10.0,10,0.040,0.09
270,30,0.15,0.025,0.0003,10.0,10,0.040,0.05
0,30,0.15,0.025,0.0003,10.0,10,0.040,0.05
180,30,0.15,0.025,0.0003,10.0,10,0.040,0.05
90,30,0.15,0.025,0.0003,10.0,10,0.040,0.05
270,30,0.15,0.025,0.0003,10.0,10,0.040,0.05
0,30,0.15,0.025,0.0003,10.0,10,0.040,0.05
180,30,0.15,0.025,0.0003,10.0,10,0.040,0.05
90,30,0.15,0.025,0.0003,10.0,10,0.040,0.05
