StartingAngle,AngleThreshold,StartingRadius,FinalRadius,DecayConstant,TimeToEat,PerturbAngle,TriggerRadius,PerturbMagnitude
0,30,0.15,0.03,0.0003,15.0,45,0.080,0.10
90,30,0.15,0.03,0.0003,20.0,20,0.00,0.10
180,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
270,30,0.15,0.03,0.0003,20.0,10,0.00,0.10
0,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
90,30,0.15,0.03,0.0003,20.0,10,0.00,0.10
180,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
270,30,0.15,0.03,0.0003,20.0,10,0.00,0.10
0,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
90,30,0.15,0.03,0.0003,20.0,10,0.00,0.10
180,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
0,30,0.15,0.03,0.0003,15.0,45,0.080,0.10
90,30,0.15,0.03,0.0003,20.0,20,0.00,0.10
180,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
270,30,0.15,0.03,0.0003,20.0,10,0.00,0.10
0,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
90,30,0.15,0.03,0.0003,20.0,10,0.00,0.10
180,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
270,30,0.15,0.03,0.0003,20.0,10,0.00,0.10
0,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
90,30,0.15,0.03,0.0003,20.0,10,0.00,0.10
180,30,0.15,0.03,0.0003,20.0,10,0.080,0.10
