StartingAngle,AngleThreshold,StartingRadius,FinalRadius,DecayConstant,TimeToEat,PerturbAngle,TriggerRadius,InterTimeInterval
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
270,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
0,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
180,30,0.10,0.025,0.0003,20.0,0,0.0,2.0
