StartingAngle,AngleThreshold,StartingRadius,FinalRadius,DecayConstant,TimeToEat,PerturbAngle,TriggerRadius,PerturbMagnitude
0,30,0.18,0.03,0.0003,15.0,-45,0.80,0.10
0,30,0.18,0.175,0.0003,0,45,0.00,0.10
270,25,0.18,0.03,0.0003,10.0,10,0.00,0.10
265,25,0.18,0.179,0.0003,0,10,0.00,0.10
0,30,0.18,0.03,0.0003,15.0,45,0.00,0.10
0,30,0.18,0.16,0.0003,0,45,0.00,0.10
270,25,0.18,0.03,0.0003,10.0,10,0.00,0.10
265,25,0.18,0.179,0.0003,0,10,0.00,0.10
180,30,0.16,0.03,0.0003,10.0,45,0.00,0.10
180,30,0.16,0.17,0.0003,0,45,0.00,0.10

180,25,0.18,0.06,0.0003,0,10,0.08,0.10
160,25,0.18,0.08,0.0003,0,10,0.10,0.10
140,25,0.18,0.08,0.0003,0,10,0.10,0.10

0,30,0.18,0.03,0.0003,15.0,45,0.00,0.10
180,25,0.18,0.08,0.0003,0,10,0.10,0.10
160,25,0.18,0.08,0.0003,0,10,0.10,0.10
140,25,0.18,0.08,0.0003,0,10,0.10,0.10
0,30,0.18,0.03,0.0003,15.0,45,0.00,0.10
0,30,0.18,0.19,0.0003,0,45,0.00,0.10
180,25,0.18,0.08,0.0003,0,10,0.10,0.10
160,25,0.18,0.08,0.0003,0,10,0.10,0.10
140,25,0.18,0.08,0.0003,0,10,0.10,0.10
