StartingAngle,AngleThreshold,StartingRadius,FinalRadius,DecayConstant,TimeToEat,PerturbAngle,TriggerRadius,PerturbMagnitude
270,25,0.18,0.03,0.0003,20.0,10,0.00,0.10
0,30,0.18,0.03,0.0003,20.0,45,0.00,0.10
90,30,0.18,0.03,0.0003,20.0,20,0.00,0.10
180,25,0.18,0.03,0.0003,15.0,10,0.00,0.10
300,20,0.10,0.03,0.0003,20,-20,0.08,0.10
0,20,0.18,0.03,0.0003,20,-25,0.00,0.10
120,20,0.10,0.03,0.0003,20,-20,0.08,0.10
180,20,0.18,0.03,0.0003,20,-25,0.080,0.10
300,20,0.10,0.03,0.0003,20,-20,0.08,0.10
0,20,0.18,0.03,0.0003,15,-25,0.00,0.10
120,20,0.10,0.03,0.0003,25,-20,0.08,0.10
180,20,0.18,0.03,0.0003,15,-25,0.080,0.10
180,20,0.18,0.16,0.0003,0,10,0.00,0.10
270,20,0.18,0.6,0.0003,0,20,0.80,0.10
300,20,0.10,0.03,0.0003,15,-20,0.08,0.10
280,20,0.18,0.16,0.0003,0,10,0.00,0.10
0,20,0.18,0.03,0.0003,15,-25,0.080,0.10
0,20,0.18,0.16,0.0003,0,10,0.00,0.10
90,20,0.18,0.6,0.0003,0,20,0.80,0.10
120,20,0.10,0.03,0.0003,15,-20,0.08,0.10
100,20,0.18,0.16,0.0003,0,10,0.00,0.10
180,20,0.18,0.03,0.0003,20,-25,0.080,0.10
180,20,0.18,0.16,0.0003,0,10,0.00,0.10
